Datum,Št dogodkov,Št bitk ali vojn,Št rojstev,Št smrti
1.januar,115,6,253,120
2.januar,37,7,139,86
3.januar,53,9,199,103
4.januar,43,7,168,95
5.januar,36,8,191,90
6.januar,51,9,198,103
7.januar,47,5,162,89
8.januar,55,7,178,106
9.januar,54,14,188,122
10.januar,39,9,200,110
11.januar,48,8,242,132
12.januar,42,4,246,103
13.januar,56,11,226,108
14.januar,30,2,252,115
15.januar,55,10,224,120
16.januar,50,15,225,116
17.januar,59,13,257,126
18.januar,49,8,251,110
19.januar,54,10,236,97
20.januar,44,10,208,101
21.januar,46,6,432,106
22.januar,50,9,217,111
23.januar,52,8,200,111
24.januar,41,7,267,67
25.januar,64,9,188,108
26.januar,47,9,205,88
27.januar,46,8,195,110
28.januar,52,9,205,106
29.januar,35,7,163,104
30.januar,52,11,159,89
31.januar,57,19,193,95
1.februar,51,8,203,102
2.februar,51,9,331,153
3.februar,52,9,177,89
4.februar,44,7,155,80
5.februar,47,4,220,84
6.februar,45,8,266,115
7.februar,47,9,176,82
8.februar,43,7,168,96
9.februar,53,9,236,89
10.februar,39,10,209,84
11.februar,54,3,169,90
12.februar,48,4,206,103
13.februar,51,8,197,113
14.februar,67,9,218,103
15.februar,49,7,194,82
16.februar,46,8,193,81
17.februar,50,9,173,88
18.februar,50,11,139,52
19.februar,42,7,195,87
20.februar,51,9,191,90
21.februar,42,8,173,78
22.februar,52,8,195,100
23.februar,60,8,167,84
24.februar,55,14,185,92
25.februar,30,2,146,71
26.februar,36,3,189,86
27.februar,54,11,238,81
28.februar,26,0,158,35
29.februar,39,6,127,64
1.marc,66,9,183,74
2.marc,58,9,213,83
3.marc,43,7,189,103
4.marc,75,11,432,165
5.marc,52,10,268,91
6.marc,48,6,217,113
7.marc,38,11,183,81
8.marc,43,9,136,64
9.marc,42,6,164,74
10.marc,46,6,169,58
11.marc,43,8,148,71
12.marc,37,7,291,63
13.marc,37,8,166,72
14.marc,40,8,183,67
15.marc,42,9,178,80
16.marc,50,7,343,117
17.marc,37,5,208,106
18.marc,57,10,264,85
19.marc,43,9,189,91
20.marc,48,6,230,100
21.marc,49,10,290,119
22.marc,65,8,233,107
23.marc,52,11,244,109
24.marc,49,7,264,102
25.marc,51,4,238,117
26.marc,51,8,258,118
27.marc,48,12,274,137
28.marc,40,11,174,93
29.marc,47,8,189,97
30.marc,45,9,207,132
31.marc,56,5,303,128
1.april,55,9,211,87
2.april,44,5,232,97
3.april,46,6,258,99
4.april,62,10,291,133
5.april,47,8,551,242
6.april,58,15,257,114
7.april,72,8,262,136
8.april,55,10,238,100
9.april,54,13,253,115
10.april,53,7,249,118
11.april,50,8,216,118
12.april,48,5,256,98
13.april,37,7,196,103
14.april,56,6,230,113
15.april,40,9,253,110
16.april,53,12,218,125
17.april,41,7,218,102
18.april,42,7,137,68
19.april,46,7,115,86
20.april,45,12,150,77
21.april,51,7,149,83
22.april,30,7,153,73
23.april,47,11,227,121
24.april,45,8,205,79
25.april,51,16,214,111
26.april,49,8,188,92
27.april,45,9,177,85
28.april,48,9,183,116
29.april,40,9,180,88
30.april,49,3,207,105
1.maj,58,10,183,87
2.maj,45,10,172,112
3.maj,49,6,172,112
4.maj,50,6,113,106
5.maj,49,6,145,92
6.maj,61,7,142,96
7.maj,52,12,128,85
8.maj,54,9,170,135
9.maj,41,9,112,106
10.maj,54,8,102,61
11.maj,34,3,102,52
12.maj,54,15,122,93
13.maj,54,6,145,100
14.maj,49,11,174,112
15.maj,52,7,248,91
16.maj,49,10,207,98
17.maj,55,9,225,105
18.maj,58,11,216,103
19.maj,54,7,202,113
20.maj,60,11,205,102
21.maj,69,14,250,114
22.maj,77,7,201,84
23.maj,49,8,203,92
24.maj,58,11,190,100
25.maj,59,9,230,103
26.maj,57,13,183,111
27.maj,51,10,241,108
28.maj,44,8,195,91
29.maj,58,11,223,116
30.maj,63,9,226,122
31.maj,52,10,175,114
1.junij,67,18,201,112
2.junij,37,3,202,114
3.junij,50,5,162,90
4.junij,52,10,221,89
5.junij,66,13,176,89
6.junij,38,9,102,53
7.junij,51,8,103,69
8.junij,50,13,131,79
9.junij,42,10,213,101
10.junij,65,14,221,121
11.junij,64,8,170,109
12.junij,55,12,195,98
13.junij,51,7,271,83
14.junij,57,10,173,102
15.junij,59,9,214,92
16.junij,53,9,216,105
17.junij,57,11,232,102
18.junij,52,9,243,124
19.junij,45,6,198,92
20.junij,51,9,207,62
21.junij,48,12,313,113
22.junij,48,13,244,78
23.junij,58,14,207,94
24.junij,66,18,275,81
25.junij,46,13,190,120
26.junij,70,10,236,105
27.junij,43,7,204,98
28.junij,59,13,229,100
29.junij,44,8,234,107
30.junij,56,10,195,95
1.julij,96,15,253,112
2.julij,56,7,173,95
3.julij,37,8,202,86
4.julij,86,19,235,135
5.julij,61,12,223,87
6.julij,64,17,191,99
7.julij,55,13,186,96
8.julij,46,3,173,106
9.julij,65,12,202,102
10.julij,66,12,262,105
11.julij,68,9,229,86
12.julij,45,6,256,109
13.julij,40,11,203,101
14.julij,41,7,121,53
15.julij,54,10,241,114
16.julij,55,8,222,97
17.julij,55,6,204,129
18.julij,44,11,208,93
19.julij,59,15,213,115
20.julij,69,13,225,102
21.julij,58,12,229,90
22.julij,52,16,213,96
23.julij,56,3,230,106
24.julij,48,11,162,78
25.julij,76,15,239,97
26.julij,72,17,216,101
27.julij,49,14,248,114
28.julij,45,9,171,114
29.julij,57,10,220,103
30.julij,49,9,183,103
31.julij,51,9,208,89
1.avgust,66,8,264,115
2.avgust,48,10,242,118
3.avgust,48,7,237,108
4.avgust,46,12,228,91
5.avgust,74,24,227,115
6.avgust,42,13,178,105
7.avgust,49,11,219,97
8.avgust,57,9,255,100
9.avgust,44,11,223,104
10.avgust,60,18,263,102
11.avgust,50,9,201,102
12.avgust,46,12,243,116
13.avgust,50,10,207,98
14.avgust,52,12,160,79
15.avgust,95,19,226,104
16.avgust,61,15,211,111
17.avgust,71,11,213,94
18.avgust,52,9,209,95
19.avgust,60,13,220,88
20.avgust,62,13,297,111
21.avgust,52,11,216,99
22.avgust,56,8,207,117
23.avgust,68,23,243,101
24.avgust,73,13,198,102
25.avgust,58,12,233,126
26.avgust,47,14,212,103
27.avgust,55,16,259,90
28.avgust,61,16,252,103
29.avgust,69,16,217,103
30.avgust,53,15,226,99
31.avgust,50,8,248,111
1.september,41,10,249,94
2.september,49,8,228,113
3.september,57,13,243,99
4.september,53,9,236,103
5.september,59,14,277,116
6.september,53,11,246,115
7.september,71,12,269,138
8.september,75,16,305,105
9.september,61,11,247,112
10.september,41,8,246,113
11.september,76,19,215,121
12.september,66,10,242,102
13.september,57,16,257,105
14.september,58,13,303,123
15.september,56,13,256,107
16.september,53,5,295,105
17.september,66,20,271,122
18.september,74,9,261,99
19.september,48,11,244,88
20.september,49,10,236,94
21.september,50,7,281,106
22.september,43,11,256,98
23.september,22,9,235,96
24.september,42,4,232,101
25.september,43,9,281,121
26.september,50,9,268,106
27.september,49,6,254,110
28.september,54,8,266,99
29.september,54,11,243,137
30.september,45,4,234,79
1.oktober,91,7,278,101
2.oktober,33,9,165,74
3.oktober,42,8,228,99
4.oktober,51,11,246,98
5.oktober,43,5,255,102
6.oktober,44,14,262,115
7.oktober,54,8,247,115
8.oktober,46,13,277,103
9.oktober,57,7,243,102
10.oktober,50,5,294,124
11.oktober,42,6,235,89
12.oktober,66,5,242,122
13.oktober,40,1,205,97
14.oktober,62,12,233,113
15.oktober,43,4,244,108
16.oktober,63,7,245,131
17.oktober,60,7,377,113
18.oktober,48,11,251,121
19.oktober,51,11,249,111
20.oktober,37,9,251,106
21.oktober,54,12,242,105
22.oktober,54,6,259,94
23.oktober,58,20,269,101
24.oktober,60,11,311,115
25.oktober,42,8,440,122
26.oktober,49,10,235,119
27.oktober,48,4,241,115
28.oktober,52,10,239,109
29.oktober,58,7,220,92
30.oktober,46,9,255,98
31.oktober,47,4,243,108
1.november,81,11,243,89
2.november,41,10,183,88
3.november,54,7,276,106
4.november,46,12,216,101
5.november,51,8,237,114
6.november,22,4,113,49
7.november,72,11,263,110
8.november,60,12,256,109
9.november,70,20,211,111
10.november,50,9,277,101
11.november,67,14,230,112
12.november,57,10,203,93
13.november,51,10,210,98
14.november,47,5,240,98
15.november,58,8,229,116
16.november,48,11,225,121
17.november,58,9,239,117
18.november,54,8,227,83
19.november,47,12,250,122
20.november,48,11,506,134
21.november,66,9,199,116
22.november,33,3,218,76
23.november,50,7,214,112
24.november,47,7,237,108
25.november,60,10,219,98
26.november,50,10,250,111
27.november,53,6,241,117
28.november,57,14,230,112
29.november,43,12,213,119
30.november,39,11,248,113
1.december,61,7,233,115
2.december,52,8,225,109
3.december,47,9,228,98
4.december,64,12,192,98
5.december,52,7,237,101
6.december,45,6,248,89
7.december,41,7,205,117
8.december,42,7,264,113
9.december,54,14,256,109
10.december,51,11,210,119
11.december,62,13,215,91
12.december,30,6,129,66
13.december,37,6,126,89
14.december,50,8,230,116
15.december,50,12,206,84
16.december,40,13,227,109
17.december,62,8,239,96
18.december,41,6,212,105
19.december,50,9,232,89
20.december,41,5,176,92
21.december,43,6,171,64
22.december,62,7,215,95
23.december,44,9,230,105
24.december,53,6,245,131
25.december,61,7,233,126
26.december,45,7,195,118
27.december,40,4,227,122
28.december,38,6,194,98
29.december,32,5,160,128
30.december,45,8,228,104
31.december,61,8,208,128
